Feature Name,Type,Example Values
Unnamed: 0,Numerical,"0, 1, 2"
id,Numerical,"19556, 90035, 12360"
Gender,Categorical,"Female, Male"
Customer Type,Categorical,"Loyal Customer, disloyal Customer"
Age,Numerical,"52, 36, 20"
Type of Travel,Categorical,"Business travel, Personal Travel"
Class,Categorical,"Eco, Business, Eco Plus"
Flight Distance,Numerical,"160, 2863, 192"
Inflight wifi service,Ordinal / Discrete Numerical,"5, 1, 2"
Departure/Arrival time convenient,Ordinal / Discrete Numerical,"4, 1, 0"
Ease of Online booking,Ordinal / Discrete Numerical,"3, 2, 0"
Gate location,Ordinal / Discrete Numerical,"4, 1, 2"
Food and drink,Ordinal / Discrete Numerical,"3, 5, 2"
Online boarding,Ordinal / Discrete Numerical,"4, 2, 1"
Seat comfort,Ordinal / Discrete Numerical,"3, 5, 2"
Inflight entertainment,Ordinal / Discrete Numerical,"5, 4, 2"
On-board service,Ordinal / Discrete Numerical,"5, 4, 1"
Leg room service,Ordinal / Discrete Numerical,"5, 4, 1"
Baggage handling,Ordinal / Discrete Numerical,"5, 4, 3"
Checkin service,Ordinal / Discrete Numerical,"2, 3, 4"
Inflight service,Ordinal / Discrete Numerical,"5, 4, 2"
Cleanliness,Ordinal / Discrete Numerical,"5, 2, 4"
Departure Delay in Minutes,Numerical,"50, 0, 77"
Arrival Delay in Minutes,Numerical,"44.0, 0.0, 6.0"
satisfaction,Target (Categorical),"satisfied, neutral or dissatisfied"
